CJ,Name,Formula,RT,Detected.in,confirmation,HMDB ID
CJ1833,Ureidosuccinic acid,C5H8N2O5,,,,HMDB0000828
CJ1834,Uric acid,C10H11NO3,,,,HMDB0000289
CJ1835,val asp  isomer,C9H16N2O5,,,,
CJ1836,val gly isomer,C7H14N2O3,,,,
CJ1837,val lys isomer,C11H23N3O3,,,,
CJ1838,val tyr isomer,C14H20N2O4,,,,
CJ1839,Valerenic acid,C15H22O2,,,,HMDB0030016
CJ1840,valeroidine isomer,C13H23NO3,,,,
CJ1841,Valpromide,C8H17NO,,,,HMDB0259756
CJ1842,Valylvaline,C10H20N2O3,,,,HMDB0029140
CJ1843,Vanillic acid 4-O-sulfate,C8H8O7S,,,,HMDB0041788
CJ1844,Vanilloylglycine,C10H11NO5,,,,HMDB0060026
CJ1845,vanillyl mandelate,C9H10O5,,,,HMDB0304531
CJ1846,volkenin  isomer,C12H17NO7,,,,
CJ1847,Wedelolactone,C16H10O7,,,,HMDB0259891
CJ1848,"(S,E)-Zearalenone",C18H22O5,,,,HMDB0031752
CJ1849,Nicotinic acid ribonucleoside,C11H13NO6,12.49,posi,STD,HMDB0006809
CJ1850,Nicotinic acid mononucleotide,C11H14NO9P,15.71,posi,STD,HMDB0001132
CJ1852,L-Formylkynurenine,C11H12N2O4,10.15,posi,STD,HMDB0060485
CJ1855,L-Fucose,C6H12O5,8.99,nega,STD,HMDB0000174
CJ1856,Rhamnose,C6H12O5,8.28,nega,STD,HMDB0000849
,(S)-beta-Aminoisobutyric acid,C4H9NO2,14.08,nega,STD,HMDB0002166
,Adipostatin A,C21H36O2,3.2,nega,STD,HMDB0031009
,N-Methyl-L-histidine,C7H11N3O2,15.51,nega,STD,HMDB0255176
