CJ,Name,Formula,RT,Detected.in,confirmation,HMDB ID
CJ1295,4-(diphenylphosphoryloxyamino)benzonitrile  isomer,C19H15N2O2P,,,,
CJ1296,4-(methylthio)-2-phenyl-6-[4-(trifluoromethyl)anilino]pyrimidine-5-carbonitrile isomer,C19H13F3N4S,,,,
CJ1297,"4,13,14-trihydroxy-9-oxo-8,17-dioxatetracyclo[8.7.0.0<u+00a9>???????u+0088>,<u+00a6><u+00a3><u+00a8><u+00b9><u+00a8>z.0<u+00a9>????????u+00a9>????????<u+00a9>????????u+00a6><u+00a3><u+00a8><u+00b9><u+00a8>f]heptadeca-1(10),2,4,6,11(16),12,14-heptaen-5-yl acetate isomer",C17H10O8,,,,
CJ1298,"4-[5-(4-chloro-2-nitrophenyl)-2-furyl]-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarbonitrile isomer",C19H13ClN4O3,,,,
CJ1299,"4-chloro-2,5-dimethyl-n-(2-{[4-(trifluoromethyl)pyrimidin-2-yl]amino}ethyl)benzenesulfonamide isomer",C15H16ClF3N4O2S,,,,
CJ1300,4-hydroxybenzamide isomer,C7H7NO2,,,,
CJ1301,4-Hydroxypropofol,C12H18O2,,,,HMDB0014018
CJ1302,4-Hydroxytamoxifen,C26H29NO2,,,,HMDB0060530
CJ1303,L-2-Amino-4-methylenepentanedioic acid,C6H9NO4,,,,HMDB0029433
CJ1304,"4-methyl-n-[(1r,9s)-11-(1-methyl-4-piperidinyl)-6-oxo-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-3-yl]benzenesulfonamide isomer",C24H32N4O3S,,,,
CJ1305,"4-nitro-7-piperidino-2,1,3-benzoxadiazole isomer",C11H12N4O3,,,,
CJ1306,4-piperidinecarboxamide isomer,C6H12N2O,,,,
CJ1307,"5-({[5-(tert-butyl)-4h-1,2,4-triazol-3-yl]thio}methyl)-3-[3-(1h-pyrrol-1-yl)phenyl]-1,2,4-oxadiazole isomer",C19H20N6OS,,,,
CJ1308,"5-(4-fluorophenyl)-2,3,5,6-tetrahydroimidazo[2,1-a]isoquinolin-5-ol isomer",C17H15FN2O,,,,
CJ1309,5-HETE,C20H32O3,,,,HMDB0011134
CJ1310,"5,6-Dihydrouridine",C9H14N2O6,,,,HMDB0000497
CJ1311,"5,6-Dihydroxyprostaglandin F1a",C20H36O7,,,,HMDB0012109
CJ1312,5b-Cyprinol sulfate,C27H48O8S,,,,HMDB0006888
CJ1313,5-butyl-2-(4-chlorophenyl)-6-(methoxymethyl)pyrimidin-4-ol isomer,C16H19ClN2O2,,,,
CJ1314,5-carboxy-2'-deoxyuridine isomer,C10H12N2O7,,,,
CJ1315,"5-chloro-1,3-dihydro-1-(4-piperidinyl)-2h-benzimidazol-2-one isomer",C12H14ClN3O,,,,
CJ1316,5-Ethyl-3-hydroxy-4-methyl-2(5H)-furanone,C7H10O3,,,,HMDB0033551
CJ1317,5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid,C11H18O4,,,,HMDB0030984
CJ1318,5-hydroxy-6-methoxycoumarin 7-glucoside isomer,C16H18O10,,,,
CJ1319,5-Hydroxyisourate,C5H4N4O4,,,,HMDB0030097
CJ1320,5-Hydroxymethyl-4-methyluracil,C6H8N2O3,,,,HMDB0000544
CJ1321,Glutamylalanine,C8H14N2O5,,,,HMDB0003764
CJ1322,5-Methoxytryptamine,C11H14N2O,,,,HMDB0004095
CJ1323,5-Methoxytryptophan,C12H14N2O3,,,,HMDB0002339
CJ1324,5-Methylcytidine,C10H15N3O5,,,,HMDB0000982
CJ1325,5-Methyldeoxycytidine,C10H15N3O4,,,,HMDB0002224
CJ1326,5-methyl-lysine isomer,C7H16N2O2,,,,
CJ1327,5-methyl-n-[(5-methyl-3-phenyl-4-isoxazolyl)methyl]-1-phenyl-1h-pyrazole-4-sulfonamide isomer,C21H20N4O3S,,,,
CJ1328,5-methyl-n-[2-morpholino-5-(trifluoromethyl)phenyl]-1-phenyl-1h-pyrazole-3-carboxamide isomer,C22H21F3N4O2,,,,
CJ1329,5-methyl-thf isomer,C20H25N7O6,,,,
CJ1330,"6-({8,8-dimethyl-2-oxo-4-phenyl-2h,8h-pyrano[2,3-f]chromen-5-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid isomer",C26H24O10,,,,
CJ1331,"6-(1-carboxy-1-methylethoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid isomer",C10H16O9,,,,
CJ1332,"6-(2-{8,8-dimethyl-2-oxo-2h,8h-pyrano[2,3-f]chromen-3-yl}-5-methoxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid isomer",C27H26O11,,,,
CJ1333,"6-Acetyl-1,2,3,4-tetrahydropyridine",C7H11NO,,,,HMDB0030345
CJ1334,6-a-hydroxytestosterone  isomer,C19H28O3,,,,
CJ1335,6-Aminonicotinamide,C6H7N3O,,,,HMDB0247034
CJ1336,6-beta-hydroxycortisol isomer,C21H30O6,,,,
CJ1337,6-Deoxohomodolichosterone,C29H50O4,,,,HMDB0034430
CJ1338,6-Keto-decanoylcarnitine,C17H31NO5,,,,HMDB0013202
CJ1339,6-Methylnicotinamide,C8H10N2O,,,,HMDB0013704
CJ1340,6-methyloctanoyl-coa isomer,C30H48N7O17P3S,,,,
CJ1341,6-Phosphonoglucono-D-lactone,C6H11O9P,,,,HMDB0001127
CJ1342,"7-(4-methylpiperazino)pyrimido[4,5-d]pyrimidine-2,4(1h,3h)-dithione isomer",C11H14N6S2,,,,
CJ1343,7-beta-D-Glucopyranosyloxybutylidenephthalide,C18H22O8,,,,HMDB0034752
CJ1344,"7-chloro-2-(3,4-dimethoxyphenyl)-5,8-dihydroxy-3,6-dimethoxy-4h-chromen-4-one isomer",C19H17ClO8,,,,
CJ1345,7-ethoxycoumarin  isomer,C11H10O3,,,,
CJ1346,7-Hydroxy-2-methyl-4-oxo-4H-1-benzopyran-5-carboxylic acid 7-glucoside,C17H18O10,,,,HMDB0036377
CJ1347,7-Ketocholesterol,C27H44O2,,,,HMDB0000501
CJ1348,"7-methoxy-1-methyl-3h,4h,9h-pyrido[3,4-b]indole isomer",C13H14N2O,,,,
CJ1349,7-methyl-3-oxooctanoyl-coa isomer,C30H50N7O18P3S,,,,
CJ1350,7-Sulfocholic acid,C24H40O8S,,,,HMDB0002421
CJ1351,8-Acetylegelolide,C16H20O6,,,,HMDB0037772
CJ1352,"8-chloro-6-(trifluoromethyl)imidazo[1,2-a]pyridine-2-carbohydrazide isomer",C9H6ClF3N4O,,,,
CJ1353,Abscisic acid,C15H20O4,,,,HMDB0036093
CJ1354,Acetoacetyl-CoA,C25H40N7O18P3S,,,,HMDB0001484
CJ1355,acetyl methylcarbamoyl cysteine isomer,C7H12N2O4S,,,,
CJ1356,acetyl-2-sulfoethyl-asparagine isomer,C8H14N2O7S,,,,
CJ1357,Acetyl-CoA,C23H38N7O17P3S,,,,HMDB0001206
CJ1358,achalensolide  isomer,C15H18O3,,,,
CJ1359,a-cmbhc isomer,C19H28O4,,,,
CJ1360,adynerin  isomer,C30H44O7,,,,
CJ1361,Aflatoxin B1,C17H12O6,,,,HMDB0006552
CJ1362,AICA-riboside,C9H14N4O5,,,,HMDB0062179
CJ1363,Salbutamol,C13H21NO3,,,,HMDB0001937
CJ1364,Allantoic acid,C4H8N4O4,,,,HMDB0001209
CJ1365,"alpha-(1,2-Dihydroxyethyl)-1,2,3,4-tetrahydro-7-hydroxy-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-acetaldehyde",C17H16O8,,,,HMDB0062442
CJ1366,alpha-dihydroartemisinin isomer,C15H24O5,,,,
CJ1367,alpha-Ketoisovaleric acid,C5H8O3,,,,HMDB0000019
CJ1368,a-l-threo-4-hex-4-enopyranuronosyl-d-galacturonic acid isomer,C12H16O12,,,,
CJ1369,aminohydroxyphenylalanine  isomer,C9H12N2O3,,,,
CJ1370,aminoisophthalic acid isomer,C8H7NO4,,,,
CJ1371,Aminomalonic acid,C3H5NO4,,,,HMDB0001147
CJ1372,aminopentyl acetamide isomer,C7H16N2O,,,,
CJ1373,aminophosphonopropionic acid isomer,C3H8NO5P,,,,
CJ1374,alpha-Amyrone,C30H48O,,,,HMDB0036659
CJ1375,Annoglabasin F,C22H34O5,,,,HMDB0035508
CJ1376,2-Aminobenzoic acid,C7H7NO2,,,,HMDB0001123
CJ1377,2-Aminobenzoic acid,C5H10N2O3S,14.06,Both,,HMDB0001123
CJ1378,Apigenin 7-sulfate,C15H10O8S,,,,HMDB0037851
CJ1379,Aprobarbital,C10H14N2O3,,,,HMDB0015441
CJ1380,Arborinine,C16H15NO4,,,,HMDB0030177
